Id,Label,Director
602,CHARLES A. HOYT,1
603,JOHN F. JAMES,1
604,EDWARD H. KIDDER,1
605,DAVID G. LEGGETT,1
606,EDWARD H. LITCHFIELD,1
607,WILLIAM G. LOW,1
608,FRANK LYMAN,1
609,EDWARD MERRITT,1
610,HENRY F. NOYES,1
611,WILLIS L. OGDEN,1
612,HENRY E. PIERREPONT,1
613,WILLIAM V.R. SMITH,1
614,THEODORE F. MILLER,1
615,FREDERICK C. COLTON,1
616,STANLEY W. HUSTED,1
617,THOMAS T. BARR,1
618,S.W. BOOCOCK,1
619,GEORGE W. CHAUNCEY,1
620,WILLIAM N. DYKMAN,1
621,JOHN GIBB,1
622,FRANCIS L. HINE,1
623,CHARLES W. IDE,1
624,WILLIAM H. MALE,1
625,JOHN J. PIERREPONT,1
626,CHARLES M. PRATT,1
627,GEORGE G. REYNOLDS,1
628,CHARLES A. SCHIEREN,1
629,ALEXANDER M. WHITE,1
630,WILLIAM AUGUSTUS WHITE,1
631,C.D. WOOD,1
632,JOHN DAVIS,1
633,MOSES MAY,1
634,JOSEPH CABBLE,1
635,"C.D. BURROWS, JR.",1
636,JERE E. BROWN,1
637,RUFUS L. SCOTT,1
638,WILLIAM S. WANDEL,1
639,WILLIAM A. WELLS,1
640,EDWIN LANGDON,1
641,WILLIAM M. WOODS,1
642,CHARLES S. YOUNG,1
643,LEWIS S. LEE,1
644,JACOB S. BERNHEIMER,1
645,L.F. DOMMERICH,1
646,WOODBURY LANGDON,1
647,JOHN A. McCALL,1
648,JOHN P. MUNN,1
649,HENRY SAMPSON,1
650,HENRY TUCK,1
651,WILLIAM A. WHEELOCK,1
652,HENRY MORGENTHAU,1
653,HUGH J. GRANT,1
654,T. STALLKNECHT,1
655,ERNEST EHRMANN,1
656,W.J.B. MILLS,1
657,ANTHONY N. BRADY,1
658,MICHAEL COLEMAN,1
659,JOHN D. CRIMMINS,1
660,HENRY O. HAVEMEYER,1
661,JAMES H. POST,1
662,GEORGE SHERMAN,1
663,E.F. HYDE,1
664,B.G. MITCHELL,1
665,GEORGE BERTINE,1
666,F.L. GRANT,1
667,J.N. WALLACE,1
668,F.B. SMIDT,1
669,CORNELIUS N. BLISS,1
670,"WILLIAM ALLEN BUTLER, JR.",1
671,CHARLES LANIER,1
672,GEORGE MACCOLLOCH MILLER,1
673,JAMES SPEYER,1
674,HENRY TALMADGE,1
675,"EDMUND DWIGHT, JR.",1
676,WILBUR C. FISK,1
677,EDWARD J. CROKER,1
678,JAMES A. DEERING,1
679,FRANK T. FITZGERALD,1
680,GRANVILLE W. GARTH,1
681,GEORGE M. GILLIES,1
682,"J.A. HODGE, JR.",1
683,ISAIAH JOSEPHI,1
684,WILLIAM LUMMIS,1
685,WALTHER LUTTGEN,1
686,ANDREW PATTERSON,1
687,ISIDOR STRAUS,1
688,ARTHUR B. WESTERVELT,1
689,HENRY W. CANNON,1
690,A.B. HEPBURN,1
691,E.J. STALKER,1
692,W.O. JONES,1
693,S.H. MILLER,1
694,C.C. SLADE,1
695,H.K. TWITCHELL,1
696,OLIVER H. PAYNE,1
697,JAMES J. HILL,1
698,GRANT B. SCHLEY,1
699,JOHN I. WATERBURY,1
700,GEORGE M. HARD,1
701,H.P. DOREMUS,1
702,W.H. STRAWN,1
703,DANIEL J. CARROLL,1
704,FRANK R. LAWRENCE,1
705,G.P. MOROSINI,1
706,ADOLPH RUSCH,1
707,HENRY SHOEMAKER,1
708,DANIEL B. SMITH,1
709,SANFORD H. STEELE,1
710,JOHN D. VERMEULE,1
711,JOHN H. WASHBURN,1
712,GEORGE G. WILLIAMS,1
713,WILLIAM H. PORTER,1
714,JACOB C. PARSONS,1
715,FRANCIS HALPIN,1
716,JAMES L. PARSON,1
717,GEORGE G. DE WITT,1
718,ROBERT WALTON GOELET,1
719,FREDERIC W. STEVENS,1
720,HENRY HASLER,1
721,WILLIAM E. CLARK,1
722,CHARLES H. STEINWAY,1
723,CHARLES W. HELD,1
724,HENRY SAYLER,1
725,JOHN W. PIRSSON,1
726,BARAK G. COLES,1
727,JOHN L. DUDLEY,1
728,SIGOURNEY W. FAY,1
729,JOHN M. FUCHS,1
730,CHARLES GULDEN,1
731,JOHN C. JUHRING,1
732,PERCIVAL KUHNE,1
733,ROBERT P. LETHBRIDGE,1
734,GEORGE W. ODELL,1
735,JAMES ROWLAND,1
736,JOHN STEMME,1
737,DOUGLAS TAYLOR,1
738,DAVID C. TOWNSEND,1
739,ARTHUR W. WATSON,1
740,THOMAS H. WOOD,1
741,FREDERICK W. WURSTER,1
742,REMSEN RUSHMORE,1
743,DAVID R. MORSE,1
744,"HENRY V. RAYMOND, JR.",1
745,FREDERICK H. WEBSTER,1
746,F.O. AFFELD,1
747,WILLIAM A. AVIS,1
748,C.F. BARBER,1
749,E.G. BLACKFORD,1
750,L.J. BUSBY,1
751,DAVID F. BUTCHER,1
752,J.G. DETTMER,1
753,ISAAC HARRIS,1
754,WILLIAM H. HAZZARD,1
755,JAMES MATTHEWS,1
756,JOHN M. RIDER,1
757,N.T. SPRAGUE,1
758,FRANK SQUIER,1
759,HORATIO S. STEWART,1
760,JOHN B. SUMMERFIELD,1
761,CHARLES E. TEALE,1
762,JOHN W. WILSON,1
763,WILLIAM WILSON,1
764,STEWART L. WOODFORD,1
765,JAMES ROSS CURRAN,1
766,GEORGE R. SHELDON,1
767,ARTHUR TERRY,1
768,WALTER W. LEE,1
769,ELVERTON R. CHAPMAN,1
770,PETER DOELGER,1
771,EDWARD EYRE,1
772,CHARLES V. FORNES,1
773,WILLIAM H. GELSHENEN,1
774,WILLIAM R. GRACE,1
775,"WILLIAM HALLS, JR.",1
776,ALBERT G. JENNINGS,1
777,EUGENE KELLY,1
778,HUGH KELLY,1
779,JAMES D. LAYNG,1
780,CHARLES E. MORSE,1
781,HOSMER B. PARSONS,1
782,GEORGE W. PERKINS,1
